Label1,,Label2,,Label3,,Label4,,,,Combined(2+3+4),,Label1,,FINAL,
Outcome,Score,Outcome,Score,Outcome,Score,Outcome,Score,,,Outcome,Score,Outcome,Score,Final Outcome,Final Score
Not a bully,0.14,Not a victim,0.8125,Not a victim,0.814285714,Not a victim,0.733333333,,,Not a victim,0.786706349,Not a bully,0.14,Not a bully,
Not a bully,0.24,Not a victim,0.75,Possible Victim,0.557142857,Possible Victim,0.366666667,,,Possible Victim,0.557936508,Not a bully,0.24,Not a bully,
Not a bully,0.1,Not a victim,0.8875,Not a victim,0.914285714,Not a victim,0.9,,,Not a victim,0.900595238,Not a bully,0.1,Not a bully,
Not a bully,0.18,Possible Victim,0.6125,Not a victim,0.757142857,Not a victim,0.766666667,,,Possible Victim,0.712103175,Not a bully,0.18,Not a bully,
Not a bully,0.1,Not a victim,1,Not a victim,1,Not a victim,1,,,Not a victim,1,Not a bully,0.1,Not a bully,
Not a bully,0.24,Not a victim,0.7375,Possible Victim,0.542857143,Possible Victim,0.4,,,Possible Victim,0.560119048,Not a bully,0.24,Not a bully,
Not a bully,0.12,Possible Victim,0.3875,Possible Victim,0.514285714,Not a victim,0.933333333,,,Possible Victim,0.611706349,Not a bully,0.12,Not a bully,
Not a bully,0.16,Possible Victim,0.6125,Possible Victim,0.642857143,Not a victim,0.833333333,,,Possible Victim,0.696230159,Not a bully,0.16,Not a bully,
Not a bully,0.1,Not a victim,0.7125,Not a victim,0.757142857,Possible Victim,0.4,,,Possible Victim,0.623214286,Not a bully,0.1,Not a bully,
Not a bully,0.26,Not a victim,0.925,Possible Victim,0.685714286,Possible Victim,0.633333333,,,Possible Victim,0.748015873,Not a bully,0.26,Not a bully,
Not a bully,0.14,Possible Victim,0.5125,Not a victim,0.714285714,Possible Victim,0.633333333,,,Possible Victim,0.620039682,Not a bully,0.14,Not a bully,
Not a bully,0.2,Possible Victim,0.5125,Not a victim,0.714285714,Possible Victim,0.533333333,,,Possible Victim,0.586706349,Not a bully,0.2,Not a bully,
Not a bully,0.24,Possible Victim,0.675,Possible Victim,0.471428571,Not a victim,0.833333333,,,Possible Victim,0.659920635,Not a bully,0.24,Not a bully,
Not a bully,0.18,Possible Victim,0.55,Possible Victim,0.5,Not a victim,0.8,,,Possible Victim,0.616666667,Not a bully,0.18,Not a bully,
Not a bully,0.22,Not a victim,0.85,Not a victim,0.8,Not a victim,0.833333333,,,Not a victim,0.827777778,Not a bully,0.22,Not a bully,
Not a bully,0.3,Possible Victim,0.625,Possible Victim,0.485714286,Possible Victim,0.633333333,,,Possible Victim,0.581349206,Not a bully,0.3,Not a bully,
Not a bully,0.1,Possible Victim,0.6625,Not a victim,0.771428571,Not a victim,0.733333333,,,Possible Victim,0.722420635,Not a bully,0.1,Not a bully,
Not a bully,0.2,Not a victim,0.75,Not a victim,0.728571429,Possible Victim,0.633333333,,,Possible Victim,0.703968254,Not a bully,0.2,Not a bully,
Not a bully,0.12,Not a victim,0.8125,Not a victim,0.885714286,Possible Victim,0.633333333,,,Not a victim,0.77718254,Not a bully,0.12,Not a bully,
Possible Bully,0.42,Not a victim,0.875,Not a victim,0.814285714,Not a victim,0.8,,,Not a victim,0.829761905,Possible Bully,0.42,Not a bully,
Not a bully,0.22,Possible Victim,0.6375,Not a victim,0.871428571,Not a victim,1,,,Not a victim,0.836309524,Not a bully,0.22,Not a bully,
Not a bully,0.14,Possible Victim,0.5875,Not a victim,0.928571429,Not a victim,0.7,,,Possible Victim,0.738690476,Not a bully,0.14,Not a bully,
